"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72405013743","2004-01-01","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  46.6","24","  27.3","24","1026.2","24","999.9"," 0","  9.9","24","  5.3","24","  8.9","999.9","  55.0"," ","  28.9"," "," 0.00","D","999.9","000000"
"72405013743","2004-01-02","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  45.8","24","  35.9","24","1022.7","24","999.9"," 0","  9.5","24","  4.1","24"," 11.1","999.9","  55.0"," ","  35.1"," "," 0.10","G","999.9","010000"
"72405013743","2004-01-03","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  50.3","24","  45.1","24","1016.4","24","999.9"," 0","  8.5","24","  3.0","24"," 12.0","999.9","  68.0"," ","  42.1"," "," 0.05","G","999.9","100000"
"72405013743","2004-01-04","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  57.7","24","  51.1","24","1012.4","24","999.9"," 0","  9.0","24","  9.1","24"," 13.0","999.9","  72.0"," ","  43.0"," "," 0.01","G","999.9","110000"
"72405013743","2004-01-05","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  46.5","24","  43.0","24","1010.6","20","999.9"," 0","  5.9","24","  6.7","24"," 12.0","999.9","  50.0","*","  44.1","*"," 0.00","G","999.9","110000"
"72405013743","2004-01-06","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  40.0","24","  24.3","24","1019.4","24","999.9"," 0","  9.9","24"," 11.8","24"," 18.1"," 27.0","  48.9"," ","  30.0"," "," 0.31","G","999.9","000000"
"72405013743","2004-01-07","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  25.2","24","   1.8","24","1027.7","24","999.9"," 0","  9.9","24"," 12.3","24"," 19.0"," 27.0","  30.9","*","  19.4","*"," 0.00","G","999.9","000000"
"72405013743","2004-01-08","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  27.3","24","   7.1","24","1028.2","24","999.9"," 0","  9.9","24","  6.0","24"," 11.1","999.9","  35.6","*","  19.9","*"," 0.00","G","999.9","000000"
"72405013743","2004-01-09","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  31.2","24","  19.8","24","1024.4","23","999.9"," 0","  8.2","24","  7.0","24"," 14.0"," 16.9","  35.1"," ","  19.9"," "," 0.01","G","999.9","101000"
"72405013743","2004-01-10","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  16.2","24","  -2.3","24","1029.6","24","999.9"," 0","  9.9","24"," 11.6","24"," 15.0","999.9","  34.0"," ","   8.1"," "," 0.00","C","999.9","000000"
