Washington Aqueduct
U.S. ARMY Corps of Engineers
Annual Report of Water Analysis
2015
Prepared by:
Water Quality Laboratory
Plant Operations Branch
Washington Aqueduct
"5900 MacArthur Boulevard, NW"
"Washington, D.C. 20016-2514"

"WASHINGTON AQUEDUCT, US ARMY CORPS OF ENGINEERS",,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL REPORT OF WATER ANALYSIS (2015),,,,,,,,,,,,,,,,,,,,,,,,,
,Potomac River Raw Water Supply,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Miscellaneous Physical Parameters,,,,,,,,,,,Inorganic Ions,,,,,,,Microorganisms,,,
,,,Y,,,,,,,,,,,,,,,,,,,,,,
,,,"T
I
V",,,,,,,,,,,,,,,,,,,,,,
,,,I,,,,,,,,,,,,,,,,,,,,,,
,,,T,,,,,,,,,,,,,,,,,,,,,,
,,,C,D,,,,,,,,,,,,,,,,,,,,,
,,,U,E,,,,,,,,,,,,,,,,,,,,,
,,,D,V,,,,,,,,,,,,,,,,,,,,,
,,,,L,,,,,,,,,,,,,,,,,,,,,
,,,N,O,,,,,,,,,,,,,,,,,,,,,
,,,O,S,,,,,,,,,,,,,,,,,,,,,
,,,C,S,,,,,,,,,,,,,,,,,,,,,
,,,,"I
D",,,,,,,,,,,,,,,,,,,,,
,,ppm,uS/cm,ppm,ppm,ppm,°F,ppm,ppm,NTU,ppm,ppm,ppm,ppm,ppb,ppm,ppm,ppm,ppb,ppm,MPN/100mL,MPN/100mL,cysts/L,Oocysts/L,
Jan,7.8,70,356,230,2,232,46,116,2.5,12,ND,0.04,54,ND,ND,2.0,ND,ND,0.4,24,3127,28,ND,ND,
Feb,8.0,84,410,212,9,221,43,131,1.9,7,ND,0.05,62,ND,---,2.0,ND,ND,1.5,29,39,2,0.10,ND,
Mar,7.7,57,381,129,5,134,52,102,2.6,31,0.08,ND,61,ND,---,1.6,ND,ND,0.3,22,1067,10,ND,ND,
Apr,7.7,70,306,204,4,208,62,107,2.5,12,ND,ND,40,ND,ND,1.5,ND,ND,0.3,22,962,39,ND,ND,
May,7.8,76,321,143,ND,143,73,118,2.7,10,0.05,0.04,32,ND,---,1.1,ND,ND,0.4,27,1859,23,ND,ND,
Jun,7.7,82,345,225,2,227,77,120,3.9,16,0.08,ND,35,0.13,---,1.2,0.02,ND,0.3,25,4826,33,ND,ND,
Jul,7.8,79,310,180,3,183,79,115,3.3,8,ND,ND,29,0.10,---,1.3,ND,ND,0.4,26,1342,8,ND,ND,
Aug,8.1,100,387,220,ND,220,79,145,2.6,7,ND,0.06,35,0.13,---,0.8,ND,ND,0.5,40,873,12,ND,ND,
Sep,8.1,98,408,204,1,205,76,157,2.3,6,ND,0.07,36,0.13,---,0.7,ND,ND,2.2,53,841,15,ND,ND,
Oct,8.0,103,407,174,1,175,64,153,2.7,15,0.05,0.04,34,0.10,---,1.4,0.04,ND,0.4,40,3014,191,ND,ND,
Nov,7.9,97,372,201,ND,201,59,143,2.9,11,ND,0.05,35,0.11,---,1.3,ND,ND,0.5,35,401,20,ND,ND,
Dec,7.9,84,333,201,2,203,55,124,2.7,14,ND,0.04,31,ND,---,1.6,ND,ND,0.5,30,1745,21,ND,ND,
,,,,,,,,,,,,,Metals,,,,,,,,,,,,
,,,,,,,,,,,,"D
A
E
L",,,,,,,,,,,,,
,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb
Jan,463,ND,ND,34,ND,ND,35,ND,ND,1.6,268,0.2,1.5,7,38,0.5,1.1,ND,ND,28,130,ND,ND,ND,4.0
Feb,442,ND,ND,38,ND,ND,39,ND,ND,1.7,112,ND,2.0,8,40,0.6,1.0,ND,ND,33,166,ND,ND,ND,3.8
Mar,402,ND,0.2,37,ND,ND,31,ND,ND,1.4,337,0.3,1.7,6,43,0.4,1.2,ND,ND,34,121,ND,ND,ND,3.4
Apr,390,ND,ND,34,ND,ND,32,ND,ND,1.1,133,ND,1.5,7,57,0.4,0.9,ND,ND,21,133,ND,ND,ND,2.6
May,187,ND,0.4,38,ND,ND,37,ND,ND,1.0,92,ND,1.8,6,50,0.6,1.0,ND,ND,17,142,ND,ND,ND,2.3
Jun,148,0.3,0.8,46,ND,ND,35,ND,0.2,1.7,112,ND,1.9,8,150,1.0,1.3,ND,ND,17,177,ND,ND,0.2,2.7
Jul,363,ND,0.7,33,ND,ND,36,ND,0.4,2.0,544,0.7,1.5,6,53,0.5,1.8,ND,ND,17,94,ND,ND,ND,3.9
Aug,205,ND,0.6,43,ND,ND,41,ND,0.2,1.8,111,ND,2.5,10,67,0.8,1.0,ND,ND,21,195,ND,ND,0.3,2.4
Sep,225,ND,ND,46,ND,ND,43,ND,0.2,1.6,92,ND,3.3,12,58,1.3,1.5,ND,ND,22,238,ND,ND,0.3,2.1
Oct,23,ND,0.7,51,ND,ND,46,ND,ND,2.7,10,ND,3.3,9,10,1.1,1.0,ND,ND,19,267,ND,ND,ND,0.8
Nov,218,ND,0.5,40,ND,ND,44,ND,ND,1.9,129,0.2,1.8,8,44,0.9,1.3,ND,ND,19,170,ND,ND,0.2,3.1
Dec,145,ND,0.2,39,ND,ND,38,ND,ND,1.3,99,ND,2.1,7,34,0.9,0.9,ND,ND,16,199,ND,ND,0.2,2.8
ppm = Parts Per Million,,,ppb = Parts Per Billion,,,,,,ND = Not Detected,,,,,MPN/100mL = Most Probable Number per 100 milliLiters,,,,,,,"""---"" = No Analysis Required",,,,
org/mL = Organisms per milliLiter,,,CFU/mL = Colony Forming Units per milliLiter,,,,,,NTU = Nephelometric Turbidity Units,,,,,μS/cm = microSiemens per centimeter,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Page 1 of 7,,,,

"WASHINGTON AQUEDUCT, US ARMY CORPS OF ENGINEERS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL REPORT OF WATER ANALYSIS (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Inorganic Ions,,,,,,,,,,,,,,,,,,,Metals,,,,,,,,,,,,,
,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"DI
D","E
T
A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,O,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,I,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"I
N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPA MCL*,,,,4,,10,1,,,,,6,10,2000,4,5,,100,,,,,,,,2,,,50,,,,2,,30,,
Units,ppm,ppm,ppm,ppm,ppb,ppm,ppm,ppm,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb
,Dalecarlia Water Treatment Plant Finished Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,0.7,ND,53,0.7,ND,2.1,ND,2.5,0.5,40,19,ND,ND,30,ND,ND,37,ND,ND,1.0,ND,ND,1.4,7,0.8,ND,0.5,0.7,ND,ND,32,146,ND,ND,ND,ND,1.0
Feb,0.7,ND,62,0.6,---,2.0,ND,2.3,0.8,43,15,ND,0.3,33,ND,ND,38,ND,ND,1.2,ND,ND,1.4,9,0.8,ND,0.6,0.8,ND,ND,39,168,ND,ND,ND,ND,1.2
Mar,0.6,ND,63,0.6,---,1.6,ND,2.4,0.3,37,17,ND,0.3,32,ND,ND,34,ND,ND,1.0,ND,ND,1.6,6,0.6,ND,0.4,0.9,ND,ND,37,132,ND,ND,ND,ND,5.3
Apr,ND,ND,42,0.6,ND,1.6,ND,2.3,0.4,36,19,ND,0.3,35,ND,ND,35,ND,ND,0.8,ND,ND,1.4,7,0.5,ND,0.4,0.8,ND,ND,24,143,ND,ND,ND,ND,1.1
May,0.8,ND,37,0.7,---,1.1,ND,2.4,0.3,41,23,ND,0.3,37,ND,ND,40,ND,ND,0.7,ND,ND,1.7,7,0.6,ND,0.5,0.8,ND,ND,22,149,ND,ND,ND,ND,0.7
Jun,0.8,ND,40,0.8,---,1.2,ND,2.5,0.3,42,36,ND,0.4,40,ND,ND,39,ND,ND,0.9,ND,ND,2.0,8,1.9,ND,0.7,0.9,ND,ND,24,187,ND,ND,ND,---,0.9
Jul,0.7,ND,34,0.8,---,1.2,ND,2.4,0.4,43,22,ND,0.4,29,ND,ND,40,ND,ND,1.0,ND,ND,1.3,7,0.6,ND,ND,1.0,ND,ND,22,97,ND,ND,ND,0.7,0.5
Aug,0.8,ND,41,0.8,---,0.8,ND,2.4,0.7,54,68,0.2,0.4,40,ND,ND,41,ND,ND,1.1,ND,ND,2.0,11,0.7,ND,1.1,1.0,ND,ND,29,192,ND,ND,ND,ND,0.6
Sep,0.7,ND,40,0.7,---,0.6,ND,2.4,1.8,67,55,ND,0.4,42,ND,ND,46,ND,ND,1.0,ND,ND,2.6,12,1.2,ND,1.1,1.2,ND,ND,26,240,ND,ND,ND,ND,0.5
Oct,0.8,ND,36,0.7,---,1.5,ND,2.4,0.5,48,29,ND,ND,36,ND,ND,45,ND,ND,1.0,ND,ND,1.8,8,0.6,ND,1.0,0.9,ND,ND,25,188,ND,ND,ND,ND,ND
Nov,0.7,ND,38,0.7,---,1.4,ND,2.4,0.5,49,25,ND,ND,35,ND,ND,46,ND,ND,1.1,ND,ND,1.8,8,0.8,ND,0.7,0.9,ND,ND,27,152,ND,ND,ND,ND,ND
,0.7,ND,34,0.7,---,1.5,ND,2.4,0.4,45,22,ND,ND,34,ND,ND,41,ND,ND,0.9,ND,ND,1.6,7,0.7,ND,0.6,0.8,ND,ND,23,192,ND,ND,ND,ND,ND
,McMillan Water Treatment Plant Finished Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,0.7,ND,47,0.7,ND,2.0,ND,2.4,0.5,41,16,ND,ND,30,ND,ND,33,ND,ND,3.8,ND,ND,1.3,7,ND,ND,0.5,0.8,ND,ND,29,143,ND,ND,ND,ND,1.1
Feb,0.8,ND,62,0.7,---,2.0,ND,2.3,0.8,42,17,ND,ND,33,ND,ND,32,ND,ND,3.5,ND,ND,1.3,8,0.2,ND,0.5,0.8,ND,ND,36,157,ND,ND,ND,ND,1.2
Mar,0.6,ND,71,0.7,---,1.7,ND,2.4,0.4,39,24,ND,ND,32,ND,ND,26,ND,ND,2.9,ND,ND,1.6,6,0.2,ND,0.5,0.9,ND,ND,46,136,ND,ND,ND,ND,1.1
Apr,ND,ND,45,0.7,ND,1.6,ND,2.4,0.4,36,18,ND,ND,32,ND,ND,28,ND,ND,2.2,ND,ND,1.2,6,ND,ND,0.3,0.8,ND,ND,26,126,ND,ND,ND,ND,3.5
May,0.8,ND,35,0.8,---,1.1,ND,2.4,0.4,40,18,ND,ND,34,ND,ND,31,ND,ND,4.9,ND,ND,1.7,7,ND,ND,0.3,0.7,ND,ND,22,131,ND,ND,ND,ND,ND
Jun,0.8,ND,41,0.8,---,1.2,ND,2.5,0.4,45,61,ND,0.3,37,ND,ND,36,ND,ND,7.7,16,ND,1.6,8,1.1,ND,0.6,0.7,ND,ND,27,169,ND,ND,ND,---,ND
Jul,0.7,ND,35,0.8,---,1.2,ND,2.5,0.5,45,21,ND,0.3,36,ND,ND,28,ND,ND,8.7,ND,ND,1.5,7,1.1,ND,0.6,0.7,ND,ND,25,127,ND,ND,ND,0.6,ND
Aug,0.8,ND,41,0.8,---,0.8,ND,2.5,0.7,56,57,ND,0.2,40,ND,ND,37,ND,ND,6.2,ND,ND,1.6,10,0.3,ND,0.8,0.6,ND,ND,27,188,ND,ND,ND,ND,ND
Sep,0.7,ND,40,0.7,---,0.6,ND,2.5,1.9,68,42,ND,0.3,41,ND,ND,41,ND,ND,6.7,ND,ND,2.1,12,1.1,ND,1.1,0.7,ND,ND,27,224,ND,ND,ND,ND,ND
Oct,0.8,ND,35,0.7,---,1.2,ND,2.5,0.5,57,23,ND,ND,38,ND,ND,37,ND,ND,11,ND,ND,2.4,8,ND,ND,1.0,0.9,ND,ND,25,202,ND,ND,ND,ND,ND
Nov,0.7,ND,39,0.7,---,1.3,ND,2.5,0.5,54,22,ND,ND,36,ND,ND,41,ND,ND,17.0,ND,ND,2.3,8,ND,ND,0.8,1.0,ND,ND,25,177,ND,ND,ND,ND,ND
Dec,0.8,ND,36,0.6,---,1.4,ND,2.5,0.4,47,15,ND,ND,34,ND,ND,33,ND,ND,12.4,ND,ND,1.8,7,ND,ND,0.7,0.8,ND,ND,25,192,ND,ND,ND,ND,0.7
*EPA MCL = Environmental Protection Agency's Maximum Contaminant Level for regulated parameters,,,,,,,,,,,,,ppm = Parts Per Million,,,,,ppb = Parts Per Billion,,,,,,ND = Not Detected,,,,"""---"" = No Analysis Required",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 2 of 7,,,

"WASHINGTON AQUEDUCT, US ARMY CORPS OF ENGINEERS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL REPORT OF WATER ANALYSIS (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Miscellaneous Physical Parameters,,,,,,,,Microorganisms,,,,Haloacetic Acids (HAAs),,,,,,Trihalomethanes (THMs),,,,,,,,,,Volatile Organic Compounds (VOCs),,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"S
E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,E,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,O,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,L,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,OT,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPA MCL*,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5,100,,,,,,,75
Units,,ppm,uS/cm,°F,ppm,ppm,ppm,ppm,ppm,NTU,%+,%+,CFU/mL,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb
,Dalecarlia Water Treatment Plant Finished Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,7.7,68,412,41,3.7,123,1.4,205,ND,0.03,0.0,0.0,1,---,---,---,---,---,---,---,7.2,5.6,2.0,ND,15,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Feb,7.7,78,451,39,3.7,131,1.3,157,ND,0.03,0.0,0.0,<1,ND,5.3,ND,ND,4.8,10,2.3,6.2,5.7,2.1,ND,14,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Mar,7.7,58,409,44,3.7,113,1.5,148,ND,0.03,0.0,0.0,<1,---,---,---,---,---,---,---,13.1,6.6,1.3,ND,21,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Apr,7.7,69,350,59,3.5,117,1.5,233,ND,0.04,0.0,0.0,<1,---,---,---,---,---,---,---,23.9,10.9,2.3,ND,37,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
May,7.7,73,365,72,3.6,127,1.8,171,ND,0.05,0.0,0.0,<1,ND,16.0,ND,2.3,17.4,36,4.5,32.4,13.3,2.8,ND,49,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Jun,7.7,80,397,78,3.6,131,2.3,234,2,0.05,0.0,0.0,2,---,---,---,---,---,---,---,32.2,12.6,2.3,ND,47,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Jul,7.7,77,360,79,3.6,126,2.0,194,ND,0.04,0.0,0.0,31,---,---,---,---,---,---,---,33.5,13.0,2.8,ND,49,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Aug,7.7,95,430,81,3.6,145,1.8,242,ND,0.04,0.0,0.0,2,1.3,12.2,ND,2.0,10.5,26,5.6,24.8,17.1,6.4,ND,48,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Sep,7.7,91,446,77,3.8,164,1.7,217,ND,0.04,0.0,0.0,5,---,---,---,---,---,---,---,21.8,19.4,9.4,0.9,52,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Oct,7.7,99,419,64,3.8,146,2.2,204,ND,0.04,0.0,0.0,1,---,---,---,---,---,---,---,23.4,10.0,1.5,ND,35,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Nov,7.7,92,407,57,3.7,149,2.0,234,ND,0.04,0.0,0.0,1,1.0,11.2,ND,1.4,12.5,26,4.9,18.9,15.5,4.9,ND,39,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
,7.7,81,374,51,3.6,131,1.7,227,ND,0.04,0.0,0.0,<1,---,---,---,---,---,---,---,11.9,9.1,2.5,ND,24,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
,McMillan Water Treatment Plant Finished Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,7.7,64,379,46,3.7,117,1.5,174,ND,0.02,0.0,0.0,<1,---,---,---,---,---,---,---,7.6,5.5,1.6,ND,15,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Feb,7.7,69,452,43,3.7,125,1.3,115,ND,0.02,0.0,0.0,<1,ND,6.6,ND,1.3,5.7,14,2.7,6.6,5.8,2.0,ND,14,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Mar,7.7,58,437,46,3.5,108,1.3,254,ND,0.02,0.0,0.0,<1,---,---,---,---,---,---,---,7.6,6.5,2.3,ND,16,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Apr,7.7,60,343,59,3.1,102,1.5,215,1,0.02,0.0,0.0,<1,---,---,---,---,---,---,---,19.9,10.1,2.8,ND,33,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
May,7.7,60,335,70,3.6,112,1.6,162,ND,0.03,0.0,0.0,<1,1.1,12.7,ND,1.5,10.6,26,4.9,26.5,14.3,4.7,ND,46,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Jun,7.7,72,389,76,3.7,126,2.0,224,ND,0.04,0.0,0.0,3,---,---,---,---,---,---,---,48.2,14.5,2.5,ND,65,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Jul,7.7,64,354,79,3.7,113,2.0,145,ND,0.03,0.0,0.0,50,---,---,---,---,---,---,---,42.4,13.6,2.9,ND,59,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Aug,7.7,85,420,82,3.7,143,1.7,222,ND,0.03,0.0,0.0,31,1.5,15.9,ND,2.1,13.5,33,6.0,33.7,18.3,7.0,0.5,60,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Sep,7.7,79,429,78,3.7,151,1.6,230,ND,0.03,0.0,0.0,18,---,---,---,---,---,---,---,28.6,20.7,10.0,1.0,60,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Oct,7.7,82,405,66,3.7,135,2.2,214,ND,0.02,0.0,0.0,13,---,---,---,---,---,---,---,27.6,13.3,2.8,ND,44,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Nov,7.7,82,403,59,3.7,141,1.8,168,1,0.02,0.0,0.0,8,ND,13.6,ND,1.6,15.0,30,4.4,26.9,13.9,3.2,ND,44,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Dec,7.7,77,377,54,3.7,127,1.6,240,2,0.02,0.0,0.0,15,---,---,---,---,---,---,---,13.6,9.4,2.4,ND,25,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
*EPA MCL = Environmental Protection Agency's Maximum Contaminant Level for regulated parameters,,,,,,,,,,,,,,ppm = Parts Per Million,,,,,,,,,ppb = Parts Per Billion,,,,,,ND = Not Detected,,,"""---"" = No Analysis Required",,,,,,,,,
Turbidity* = Water turbidity after filters,,,,,org/mL = Organisms per milliLiter,,,,,,,,,CFU/mL = Colony Forming Units per milliLiter,,,,,,,,,NTU = Nephelometric Turbidity Units,,,,,,,,,μS/cm = microSiemens per centimeter,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 3 of 7,

"WASHINGTON AQUEDUCT, US ARMY CORPS OF ENGINEERS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL REPORT OF WATER ANALYSIS (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Volatile Organic Compounds,,,,,,,,,,,,,,,,,,,,,,,Oxygenates & Other VOCs,,,,,,
,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,E,N,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,L,E,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Y,L,E,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,H,Y,L,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,T,H,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,E,T,H,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,O,E,T,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,R,O,E,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,O,R,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,L,O,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
