Washington Aqueduct
U.S. ARMY Corps of Engineers
Annual Report of Water Analysis
2018
Prepared by:
Water Quality Laboratory
Plant Operations Branch
Washington Aqueduct
"5900 MacArthur Boulevard, NW"
"Washington, D.C. 20016-2514"
"Approved by the Chief, Washington Aqueduct"

"WASHINGTON AQUEDUCT, US ARMY CORPS OF ENGINEERS",,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL REPORT OF WATER ANALYSIS (2018),,,,,,,,,,,,,,,,,,,,,,,,,,
,Potomac River Raw Water Supply,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Miscellaneous Physical Parameters,,,,,,,,,,,Inorganic Ions,,,,,,,,Microorganisms,,,
,,,Y,,,,,,,,,,,,,,,,,,,,,,,
,,,"T
I
V",,,,,,,,,,,,,,,,,,,,,,,
,,,I,,,,,,,,,,,,,,,,,,,,,,,
,,,T,,,,,,,,,,,,,,,,,,,,,,,
,,,C,D,,,,,,,,,,,,,,,,,,,,,,
,,,U,E,,,,,,,,,,,,,,,,,,,,,,
,,,D,V,,,,,,,,,,,,,,,,,,,,,,
,,,,L,,,,,,,,,,,,,,,,,,,,,,
,,,N,O,,,,,,,,,,,,,,,,,,,,,,
,,,O,S,,,,,,,,,,,,,,,,,,,,,,
,,,C,S,,,,,,,,,,,,,,,,,,,,,,
,,,,"I
D",,,,,,,,,,,,,,,,,,,,,,
,,ppm,uS/cm,ppm,ppm,ppm,°F,ppm,ppm,NTU,ppm,ppm,ppm,ppm,,ppm,ppm,ppm,ppb,ppm,MPN/100mL,MPN/100mL,cysts/L,Oocysts/L,cysts/L,Oocysts/L
Jan,7.7,96,400,287,2,289,38,148,4.3,24,0.06,0.07,38,0.11,,2.1,ND,ND,0.8,42,32401,222,ND,ND,ND,ND
Feb,7.7,62,292,164,85,249,43,99,3.8,22,0.06,0.03,37,ND,,2.0,ND,ND,0.3,22,13849,132,0.35,0.35,1.05,0.29
Mar,7.6,78,332,187,6,193,47,118,2.2,11,ND,ND,37,ND,,1.9,ND,ND,0.4,26,17770,24,0.37,0.09,0.56,0.28
Apr,7.6,64,245,176,12,188,56,100,3.7,19,0.06,ND,24,ND,,1.4,ND,ND,0.3,22,39330,1606,0.74,0.09,0.93,0.19
May,7.5,73,248,138,291,429,71,102,2.7,25,0.06,0.02,17,ND,,1.2,ND,ND,ND,21,56790,752,ND,ND,---,---
Jun,7.5,77,231,145,129,274,73,98,4.3,33,ND,ND,15,ND,,1.3,ND,ND,ND,17,59389,2096,0.19,0.19,---,---
Jul,7.7,87,298,194,2,196,78,117,3.0,19,0.05,ND,25,ND,,1.4,ND,ND,0.4,24,80846,553,ND,ND,---,---
Aug,7.7,85,256,172,30,202,76,99,3.6,19,ND,0.02,22,ND,,1.6,ND,ND,0.3,15,61479,1623,ND,ND,---,---
Sep,7.5,78,248,141,169,310,72,102,5.1,22,ND,ND,16,ND,,1.5,ND,ND,0.3,16,97250,1623,ND,ND,---,---
Oct,7.7,94,314,176,2,178,62,133,2.9,8,ND,ND,23,ND,,2.2,ND,ND,0.4,26,38756,148,0.09,ND,---,---
Nov,7.5,68,231,133,26,159,48,97,3.9,15,ND,0.02,16,ND,,1.8,ND,ND,0.3,15,39551,1235,1.14,0.10,---,---
Dec,7.8,68,242,210,5,215,44,109,2.5,19,0.06,ND,18,ND,,2.1,ND,ND,0.3,20,5335,248,0.74,ND,---,---
,,,,,,,,,,,,,Metals,,,,,,,,,,,,,
,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb
Jan,89,0.2,0.4,44,ND,ND,45,ND,ND,3.8,88,0.2,3.4,9,18,0.9,,1.3,ND,ND,21,244,ND,ND,0.4,3.2
Feb,285,ND,ND,34,ND,ND,29,ND,0.2,2.0,288,0.4,1.3,6,47,0.6,,1.1,ND,ND,20,117,ND,ND,ND,3.4
Mar,405,ND,ND,36,ND,ND,36,ND,0.4,1.5,429,0.5,1.7,7,61,0.3,,1.5,ND,ND,20,116,ND,ND,ND,3.5
Apr,387,ND,ND,38,ND,ND,31,ND,0.6,2.7,560,0.8,1.8,6,66,0.4,,1.6,ND,ND,16,110,ND,0.6,ND,5.3
May,269,ND,ND,38,ND,ND,31,ND,0.5,2.1,502,0.6,2.2,6,54,0.4,,1.6,ND,ND,13,121,ND,ND,ND,3.5
Jun,1401,ND,ND,72,ND,ND,31,ND,2.7,5.0,2241,3.8,2.5,5,221,ND,,5.6,ND,ND,11,89,ND,ND,0.3,15.5
Jul,227,0.2,0.3,46,ND,ND,36,ND,0.4,2.1,372,0.5,2.3,7,46,0.6,,1.4,ND,ND,13,158,ND,0.8,0.3,3.6
Aug,1869,0.2,ND,49,ND,ND,30,3.0,2.7,5.2,3245,3.4,2.1,6,157,0.4,,5.0,ND,ND,13,79,ND,1.2,0.3,11.7
Sep,247,ND,ND,47,ND,ND,31,ND,0.4,1.7,526,0.5,2.1,6,47,0.7,,1.3,ND,ND,12,160,ND,ND,0.3,2.3
Oct,397,ND,0.3,44,ND,ND,41,ND,0.8,1.9,799,1.0,2.1,7,68,0.4,,2.0,ND,ND,12,110,ND,ND,0.2,4.6
Nov,342,ND,ND,35,ND,ND,29,ND,0.5,1.7,611,0.7,1.5,6,56,0.4,,1.3,ND,ND,11,101,ND,ND,ND,3.4
Dec,123,ND,ND,36,ND,ND,32,ND,ND,1.1,224,0.3,1.7,7,30,0.4,,1.1,ND,ND,10,114,ND,ND,ND,2.4
ppm = Parts Per Million,,,ppb = Parts Per Billion,,,ND = Not Detected,,,MPN/100mL = Most Probable Number per 100 milliLiters,,,,,NTU = Nephelometric Turbidity Units,,,,,μS/cm = microSiemens per centimeter,,,,"""---"" = No Analysis Required",,,Page 1 of 7

"WASHINGTON AQUEDUCT, US ARMY CORPS OF ENGINEERS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL REPORT OF WATER ANALYSIS (2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Inorganic Ions,,,,,,,,,,,,,,,,,,,Metals,,,,,,,,,,,,,
,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"T
A
R
T
I
N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPA MCL*,,,,4,10,1,,,,,6,10,2000,4,5,,100,,,,,,,,2,,,50,,,,2,,30,,
Units,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb
,Dalecarlia Water Treatment Plant Finished Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,0.8,ND,43,0.6,2.0,ND,2.2,0.9,55,63,ND,0.2,38,ND,ND,44,ND,ND,1.4,ND,ND,2.7,9,1.4,ND,0.7,1.1,ND,ND,26,253,ND,ND,ND,ND,1.8
Feb,0.8,ND,53,0.6,2.0,ND,2.4,0.3,41,23,ND,ND,22,ND,ND,35,ND,ND,0.8,ND,ND,1.4,6,1.0,ND,0.4,0.7,ND,ND,30,148,ND,ND,ND,ND,1.0
Mar,0.7,ND,40,0.7,1.9,ND,2.4,0.3,39,33,ND,ND,32,ND,ND,39,ND,ND,0.8,ND,ND,1.4,7,0.7,ND,0.3,0.8,ND,ND,24,118,ND,ND,ND,ND,ND
Apr,ND,ND,30,0.7,1.4,ND,2.4,0.3,38,35,ND,ND,31,ND,ND,32,ND,ND,0.8,ND,ND,1.8,6,0.5,ND,0.3,0.9,ND,ND,17,134,ND,ND,ND,ND,0.5
May,0.8,ND,26,0.7,1.3,ND,2.3,0.3,39,37,ND,0.3,38,ND,ND,35,ND,ND,0.7,ND,ND,1.6,6,0.8,ND,0.4,0.8,ND,ND,18,139,ND,ND,ND,ND,0.5
Jun,0.8,ND,20,0.7,1.3,ND,2.3,ND,36,28,ND,0.2,34,ND,ND,37,ND,ND,0.8,ND,ND,1.7,5,0.7,ND,0.4,0.9,ND,ND,17,98,ND,ND,ND,ND,ND
Jul,0.8,ND,29,0.8,1.4,ND,2.3,0.4,41,43,ND,0.4,31,ND,ND,40,ND,ND,0.6,ND,ND,1.3,6,0.5,ND,0.5,0.5,ND,ND,21,121,ND,ND,ND,ND,ND
Aug,0.7,ND,27,0.8,1.7,ND,2.2,0.3,38,25,ND,ND,37,ND,ND,40,ND,ND,0.9,ND,ND,1.3,6,0.9,ND,0.6,0.8,ND,ND,17,108,ND,ND,ND,ND,ND
Sep,0.8,ND,24,0.7,1.6,ND,2.3,0.5,37,34,ND,ND,33,ND,ND,36,ND,ND,1.0,ND,ND,1.2,6,0.6,ND,0.6,0.7,ND,ND,18,122,ND,ND,ND,ND,ND
Oct,0.8,ND,29,0.7,2.2,ND,2.3,0.3,40,23,ND,ND,35,ND,ND,41,ND,ND,0.7,ND,ND,1.1,6,0.6,ND,0.3,0.7,ND,ND,16,105,ND,ND,ND,ND,ND
Nov,0.7,ND,24,0.6,1.7,ND,2.4,0.3,34,31,ND,ND,30,ND,ND,30,ND,ND,1.1,ND,ND,1.7,5,0.8,ND,0.4,0.9,ND,ND,18,102,ND,ND,ND,ND,0.7
Dec,0.8,ND,24,0.6,2.1,ND,2.2,0.3,32,20,ND,ND,33,ND,ND,32,ND,ND,0.7,ND,ND,0.9,6,0.7,ND,0.2,0.9,ND,ND,19,116,ND,ND,ND,ND,ND
,McMillan Water Treatment Plant Finished Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,0.7,ND,44,0.6,1.8,ND,2.5,0.5,56,13,ND,0.2,38,ND,ND,36,ND,ND,7.5,ND,ND,1.7,9,0.3,ND,0.8,1.1,ND,ND,27,221,ND,ND,ND,ND,0.9
Feb,0.7,ND,48,0.6,2.1,ND,2.5,0.4,42,14,ND,ND,31,ND,ND,29,ND,ND,3.0,ND,ND,1.7,6,ND,ND,0.4,0.8,ND,ND,31,138,ND,ND,ND,ND,ND
Mar,0.6,ND,36,0.7,1.9,ND,2.5,0.3,39,17,ND,ND,31,ND,ND,29,ND,ND,2.5,ND,ND,1.1,7,ND,ND,0.4,0.9,ND,ND,22,117,ND,ND,ND,ND,ND
Apr,ND,ND,39,0.7,1.4,ND,2.5,0.3,37,32,ND,ND,29,ND,ND,28,ND,ND,2.4,ND,ND,1.3,7,ND,ND,0.4,0.7,ND,ND,24,162,ND,ND,ND,ND,0.5
May,0.7,ND,26,0.8,1.2,ND,2.5,0.3,38,27,ND,0.2,37,ND,ND,27,ND,ND,6.1,ND,ND,1.9,6,ND,ND,0.4,0.7,ND,ND,20,137,ND,ND,ND,ND,ND
Jun,0.7,ND,23,0.7,1.3,ND,2.5,0.2,40,29,ND,ND,38,ND,ND,31,ND,ND,6.8,ND,ND,1.4,6,0.6,ND,0.4,0.5,ND,ND,20,134,ND,ND,ND,ND,ND
Jul,0.8,ND,29,0.8,1.2,ND,2.5,0.4,45,26,ND,ND,38,ND,ND,35,ND,ND,6.1,ND,ND,1.5,7,0.3,ND,0.4,0.8,ND,ND,21,130,ND,ND,ND,ND,ND
Aug,0.8,ND,26,0.7,1.5,ND,2.4,0.4,38,14,ND,ND,33,ND,ND,22,ND,ND,7.4,ND,ND,1.8,6,ND,ND,0.4,0.8,ND,ND,22,95,ND,ND,ND,ND,0.5
Sep,0.8,ND,24,0.7,1.5,ND,2.5,0.4,42,24,ND,ND,33,ND,ND,27,ND,ND,4.7,ND,ND,1.1,6,ND,ND,0.5,ND,ND,ND,20,144,ND,ND,ND,ND,ND
Oct,0.8,ND,27,0.7,2.0,ND,2.4,0.3,43,47,ND,ND,33,ND,ND,28,ND,ND,10.2,ND,ND,1.2,6,22,ND,0.3,0.6,ND,ND,17,108,ND,ND,ND,ND,ND
Nov,0.8,ND,25,0.7,1.8,ND,2.5,0.4,38,26,ND,ND,35,ND,ND,27,ND,ND,7.6,ND,ND,1.3,6,ND,ND,0.5,0.7,ND,ND,18,153,ND,ND,ND,ND,ND
Dec,0.9,ND,23,0.7,2.0,ND,2.4,0.3,33,20,ND,ND,30,ND,ND,26,ND,ND,10.4,ND,ND,1.2,6,0.4,ND,0.2,0.7,ND,ND,17,102,ND,ND,ND,ND,0.8
*EPA MCL = Environmental Protection Agency's Maximum Contaminant Level for regulated parameters,,,,,,,,,,,,,,ppm = Parts Per Million,,,,,ppb = Parts Per Billion,,,,,ND = Not Detected,,,,"""---"" = No Analysis Required",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 2 of 7,

"WASHINGTON AQUEDUCT, US ARMY CORPS OF ENGINEERS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL REPORT OF WATER ANALYSIS (2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Miscellaneous Physical Parameters,,,,,,,,Microorganisms,,,,Haloacetic Acids (HAAs),,,,,,Trihalomethanes (THMs),,,,,,,,,,Volatile Organic Compounds (VOCs),,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"S
E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,E,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,O,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,L,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,H,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,O,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,T,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPA MCL*,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5,100,,,,,,,75
Units,,ppm,uS/cm,°F,ppm,ppm,ppm,ppm,ppm,NTU,%+,%+,CFU/mL,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb
,Dalecarlia Water Treatment Plant Finished Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,7.7,91,430,38,3.7,146,2.1,303,ND,0.05,0.0,0.0,<1,---,---,---,---,---,---,---,9.4,8.0,3.45,ND,21,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Feb,7.7,63,386,43,3.7,113,1.8,252,ND,0.04,0.0,0.0,1,ND,9.7,ND,1.3,10.0,21,2.1,11.7,5.7,1.1,ND,19,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Mar,7.7,71,365,47,3.7,126,1.5,204,ND,0.03,0.0,0.0,<1,---,---,---,---,---,---,---,9.2,5.7,1.4,ND,16,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Apr,7.7,63,316,56,3.3,104,1.6,196,1,0.04,0.0,0.0,<1,---,---,---,---,---,---,---,20.5,9.8,2.7,ND,33,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
May,7.7,70,314,71,3.5,113,1.8,192,2,0.03,0.8,0.0,<1,ND,12.6,ND,1.0,13.1,27,3.1,22.2,9.4,1.9,ND,34,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Jun,7.7,75,291,73,3.7,113,2.5,202,ND,0.02,0.0,0.0,<1,---,---,---,---,---,---,---,26.4,8.8,1.3,ND,37,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Jul,7.7,85,351,78,3.7,126,1.9,228,1,0.02,0.0,0.0,1,---,---,---,---,---,---,---,37.9 12.3,,2.3,ND,53,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Aug,7.7,81,333,76,3.7,125,2.2,212,ND,0.02,0.0,0.0,2,ND,16.9,ND,2.0,17.1,36,3.0,36.3 10.1,,1.5,ND,48,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Sep,7.7,76,322,72,3.7,113,2.1,180,4,0.02,0.0,0.0,2,---,---,---,---,---,---,---,39.1,6.7,0.5,ND,46,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Oct,7.7,88,351,62,3.7,126,1.9,199,ND,0.02,0.0,0.0,<1,---,---,---,---,---,---,---,19.9,9.4,2.0,ND,31,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Nov,7.7,65,272,48,3.7,97,2.0,166,ND,0.02,0.0,0.0,<1,ND,8.8,ND,1.0,10.7,21,1.7,14.0,5.0,0.7,ND,20,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Dec,7.7,66,276,44,3.6,107,1.4,206,ND,0.02,0.0,0.0,<1,---,---,---,---,---,---,---,5.1,3.6,1.1,ND,10,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
,McMillan Water Treatment Plant Finished Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,7.7,90,455,44,3.7,143,2.0,273,1,0.02,0.0,0.0,<1,---,---,---,---,---,---,---,8.5,8.7,3.9,ND,21,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Feb,7.7,53,377,49,3.7,105,1.7,234,3,0.02,0.0,0.0,<1,ND,8.0,ND,1.3,8.1,17,2.6,8.9,6.2,1.7,ND,17,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Mar,7.7,58,329,50,3.6,109,1.5,170,ND,0.02,0.0,0.0,<1,---,---,---,---,---,---,---,9.9,5.6,1.3,ND,17,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Apr,7.7,59,333,56,3.1,106,1.6,195,2,0.02,0.0,0.0,<1,---,---,---,---,---,---,---,16.5,7.6,1.9,ND,26,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
May,7.7,60,290,66,3.5,94,1.8,180,3,0.03,0.0,0.0,1,ND,14.5,ND,1.1,13.0,29,2.8,30.6,9.9,1.8,ND,42,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Jun,7.7,65,301,72,3.7,105,2.1,175,1,0.03,0.9,0.0,1,---,---,---,---,---,---,---,40.0,9.4,1.1,ND,51,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Jul,7.7,78,350,77,3.7,127,2.1,217,ND,0.03,0.0,0.0,2,---,---,---,---,---,---,---,43.3 14.6,,3.3,ND,61,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Aug,7.7,65,305,76,3.7,96,2.0,187,2,0.02,0.0,0.0,8,ND,20.0,ND,1.7,20.1,42,2.8,49.3 10.5,,1.4,ND,61,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Sep,7.7,68,319,74,3.7,107,1.9,229,3,0.02,0.0,0.0,4,---,---,---,---,---,---,---,35.7 12.8,,2.7,ND,51,ND,ND,ND,---,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Oct,7.7,70,317,67,3.7,117,1.7,175,ND,0.02,0.0,0.0,2,---,---,---,---,---,---,---,21.3,9.5,2.3,ND,33,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Nov,7.7,61,288,56,3.8,101,1.8,160,ND,0.02,0.0,0.0,3,ND,10.4,ND,ND,15.4,26,2.1,22.0,6.4,1.0,ND,29,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Dec,7.7,59,276,54,3.8,102,1.3,186,3,0.01,0.0,0.0,<1,---,---,---,---,---,---,---,6.7,4.4,1.2,ND,12,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
*EPA MCL = Environmental Protection Agency's Maximum Contaminant Level for regulated parameters,,,,,,,,,,,,,ppm = Parts Per Million,,,,,,,ppb = Parts Per Billion,,,,,,,ND = Not Detected,,,,"""---"" = No Analysis Required",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 3 of 7,,
Turbidity* = Water turbidity after filters,,,,,CFU/mL = Colony Forming Units per milliLiter,,,,,,,,NTU = Nephelometric Turbidity Units,,,,,,,μS/cm = microSiemens per centimeter,,,,,,,,,,,,,,,,,,,,,

"WASHINGTON AQUEDUCT, US ARMY CORPS OF ENGINEERS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL REPORT OF WATER ANALYSIS (2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Volatile Organic Compounds,,,,,,,,,,,,,,,,,,,,,,,Oxygenates & Other VOCs,,,,,,
,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,E,N,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,E,L,E,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,N,Y,L,E,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,H,Y,L,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,H,T,H,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T,E,T,H,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,E,O,E,T,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,O,R,O,E,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,R,O,R,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,O,L,O,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,L,H,L,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,H,C,H,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,I,C,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,C,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
