Washington Aqueduct
U.S. ARMY Corps of Engineers
Annual Report of Water Analysis
2019
Prepared by:
Water Quality Laboratory
Plant Operations Branch
Washington Aqueduct
"5900 MacArthur Boulevard, NW"
"Washington, D.C. 20016-2514"

"WASHINGTON AQUEDUCT, US ARMY CORPS OF ENGINEERS",,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL REPORT OF WATER ANALYSIS (2019),,,,,,,,,,,,,,,,,,,,,,,,,
,Potomac River Raw Water Supply,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Miscellaneous Physical Parameters,,,,,,,,,,,Inorganic Ions,,,,,,Microorganisms,,,,
,,,Y,,,,,,,,,,,,,,,,,,,,,,
,,,T,,,,,,,,,,,,,,,,,,,,,,
,,,"I
V",,,,,,,,,,,,,,,,,,,,,,
,,,I,,,,,,,,,,,,,,,,,,,,,,
,,,T,,,,,,,,,,,,,,,,,,,,,,
,,,C,,,,,,,,,,,,,,,,,,,,,,
,,,U,,,,,,,,,,,,,,,,,,,,,,
,,,D,,,,,,,,,,,,,,,,,,,,,,
,,,N,,,,,,,,,,,,,,,,,,,,,,
,,,O,,,,,,,,,,,,,,,,,,,,,,
,,,C,,,,,,,,,,,,,,,,,,,,,,
,,ppm,uS/cm,ppm,ppm,ppm,°F,ppm,ppm,NTU,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppb,ppm,MPN/100mL,MPN/100mL,cysts/L,Oocysts/L,,
Jan,7.6,69,253,239,3,242,41,108,2.0,15,ND,ND,29,ND,2.1,ND,ND,1.3,20,2498,148,0.56,ND,,
Feb,7.5,65,303,196,95,291,42,96,1.9,15,ND,ND,39,ND,2.1,ND,ND,ND,19,1332,124,0.56,0.19,,
Mar,7.5,65,274,120,32,152,46,101,2.3,18,ND,ND,29,ND,2.0,ND,ND,0.4,19,830,47,ND,ND,,
Apr,7.7,75,280,167,74,241,58,109,2.8,10,ND,ND,25,ND,1.9,ND,ND,0.4,21,5977,1251,0.19,ND,,
May,7.6,73,243,164,72,236,66,105,3.7,13,ND,ND,21,ND,1.7,ND,ND,0.3,18,15424,678,0.47,ND,,
Jun,7.7,94,339,232,9,241,75,132,2.2,8,ND,ND,32,ND,2.0,ND,ND,0.3,28,3660,37,ND,0.10,,
Jul,7.7,82,301,208,15,223,81,118,3.4,13,ND,ND,29,ND,1.6,ND,ND,0.3,24,39860,586,0.28,ND,,
Aug,8.0,102,310,257,11,268,85,134,2.4,9,ND,ND,29,0.11,1.4,ND,ND,0.4,30,10769,125,0.09,ND,,
Sep,8.1,111,415,216,4,220,82,165,2.1,6,ND,ND,31,0.12,1.2,ND,ND,0.3,44,2415,17,0.74,ND,,
Oct,8.1,109,416,254,1,255,70,160,2.2,5,0.05,ND,34,0.11,1.2,ND,ND,0.3,42,1785,48,ND,ND,,
Nov,8.0,95,388,209,3,212,53,147,3.4,10,0.05,ND,34,ND,2.0,ND,ND,0.3,30,1732,100,0.19,ND,,
Dec,8.3,75,320,185,5,190,46,118,3.0,6,ND,ND,38,ND,2.1,ND,ND,0.3,24,7819,343,0.19,0.28,,
,,,,,,,,,,,,,Metals,,,,,,,,,,,,
,,,,,,,,,,,,"D
A
E
L",,,,,,,,,,,,,
,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb
Jan,506,ND,0.3,38,ND,ND,34,ND,0.6,2.4,767,1.2,1.8,6,65,ND,1.7,ND,ND,16,113,ND,ND,ND,6.3
Feb,143,ND,0.4,36,ND,ND,30,ND,ND,1.4,199,0.4,1.6,5,35,ND,1.1,ND,ND,25,121,ND,ND,ND,2.5
Mar,138,ND,0.3,38,ND,ND,30,ND,0.3,1.2,252,0.4,1.8,6,36,ND,1.3,ND,ND,14,121,ND,ND,ND,4.0
Apr,82,ND,ND,39,ND,ND,35,ND,ND,1.2,137,ND,1.8,6,32,ND,0.8,ND,ND,13,144,ND,ND,ND,1.6
May,292,ND,0.3,42,ND,ND,32,ND,0.4,1.6,440,0.6,2.2,6,57,ND,1.2,ND,ND,12,140,ND,ND,0.2,3.1
Jun,192,ND,0.3,44,ND,ND,40,ND,0.3,1.9,275,0.4,2.0,7,39,0.6,0.9,ND,ND,16,159,ND,ND,0.3,2.1
Jul,247,ND,0.6,47,ND,ND,36,ND,0.4,2.1,380,0.5,2.2,7,60,0.7,1.4,ND,ND,14,159,ND,ND,0.3,3.2
Aug,965,ND,0.9,35,ND,ND,40,2.3,1.3,4.2,1458,1.6,1.5,9,79,ND,3.8,ND,ND,15,86,ND,ND,0.2,5.8
Sep,142,ND,ND,46,ND,ND,48,ND,ND,2.0,179,0.9,2.7,11,37,0.9,ND,ND,ND,17,227,ND,ND,0.3,4.3
Oct,110,ND,ND,53,ND,ND,45,ND,0.2,1.7,95,ND,3.3,11,27,1.0,1.0,ND,ND,19,252,ND,ND,0.4,1.5
Nov,296,ND,ND,39,ND,ND,43,ND,0.3,2.3,281,0.4,1.9,10,70,ND,1.0,ND,ND,18,171,ND,ND,ND,4.7
Dec,176,ND,ND,33,ND,ND,34,ND,ND,1.9,205,ND,1.4,8,40,ND,0.7,ND,ND,17,156,ND,ND,ND,4.7
ppm = Parts Per Million,,,ppb = Parts Per Billion,,,ND = Not Detected,,,MPN/100mL = Most Probable Number per 100 milliLiters,,,,,NTU = Nephelometric Turbidity Units,,,,μS/cm = microSiemens per centimeter,,,,"""---"" = No Analysis Required",,,
,,,,,,,,,,,,,,,,,,,,,,,,,Page 1 of 7

"WASHINGTON AQUEDUCT, US ARMY CORPS OF ENGINEERS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL REPORT OF WATER ANALYSIS (2019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Inorganic Ions,,,,,,,,,,,,,,,,,,,Metals,,,,,,,,,,,,,
,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"D
I
R","E
T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,O,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,U,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,L,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,F,"I
N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPA MCL*,,,,4,10,1,,,,,6,10,2000,4,5,,100,,,,,,,,2,,,50,,,,2,,30,,
Units,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb
,Dalecarlia Water Treatment Plant Finished Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,0.8,ND,27,0.6,2.1,ND,2.3,0.7,32,19,ND,ND,29,ND,ND,34,ND,ND,0.7,ND,ND,1.1,6,0.8,ND,ND,0.6,ND,ND,24,100,ND,ND,ND,ND,0.5
Feb,0.6,ND,47,0.6,2.1,ND,2.4,0.6,33,21,ND,ND,33,ND,ND,35,ND,ND,0.9,ND,ND,1.1,6,0.8,ND,ND,0.7,ND,ND,23,129,ND,ND,ND,ND,0.7
Mar,0.6,ND,36,0.6,1.9,ND,2.4,0.5,31,16,ND,ND,32,ND,ND,33,ND,ND,1.2,ND,ND,1.1,6,0.7,ND,ND,0.7,ND,ND,22,112,ND,ND,ND,ND,0.6
Apr,ND,ND,30,0.7,1.9,ND,2.3,0.3,33,22,ND,ND,35,ND,ND,37,ND,ND,0.8,ND,ND,1.1,6,0.5,ND,ND,0.5,ND,ND,18,132,ND,ND,ND,ND,0.5
May,0.6,ND,27,0.7,1.7,ND,2.3,0.2,32,25,ND,ND,36,ND,ND,36,ND,ND,0.8,ND,ND,1.3,5,0.5,ND,ND,ND,ND,ND,18,132,ND,ND,ND,ND,ND
Jun,0.7,ND,36,0.7,2.0,ND,2.4,0.3,37,31,ND,0.2,40,ND,ND,39,ND,ND,1.1,ND,ND,1.4,7,0.9,ND,0.5,0.5,ND,ND,24,148,ND,ND,ND,0.5,ND
Jul,0.8,ND,32,0.8,1.5,ND,2.4,0.4,41,53,ND,0.2,43,ND,ND,38,ND,ND,1.0,ND,ND,1.7,6,1.1,ND,0.8,ND,ND,ND,20,177,ND,ND,ND,0.6,ND
Aug,0.8,ND,36,0.8,1.4,ND,2.4,0.4,46,58,ND,0.3,43,ND,ND,46,ND,ND,1.0,ND,ND,1.7,9,1.0,ND,0.9,0.6,ND,ND,22,189,ND,ND,ND,0.6,ND
Sep,0.8,ND,37,0.7,1.2,ND,2.4,0.3,54,81,ND,ND,42,ND,ND,50,ND,ND,1.0,ND,ND,1.8,11,1.0,ND,0.9,0.6,ND,ND,23,222,ND,ND,ND,ND,ND
Oct,0.9,ND,41,0.7,1.1,ND,2.4,0.3,57,106,ND,0.3,50,ND,ND,46,ND,ND,1.2,ND,ND,2.7,12,1.0,ND,1.0,0.8,ND,ND,26,252,ND,ND,0.2,0.5,ND
Nov,0.8,ND,35,0.7,1.8,ND,2.4,0.2,46,23,ND,ND,32,ND,ND,42,ND,ND,1.5,ND,ND,1.6,9,0.7,ND,0.6,0.7,ND,ND,20,132,ND,ND,ND,ND,ND
Dec,0.9,ND,37,0.6,2.0,ND,2.4,0.3,43,21,ND,ND,32,ND,ND,40,ND,ND,1.3,ND,ND,1.3,9,0.7,ND,0.6,0.5,ND,ND,21,187,ND,ND,ND,ND,1.0
,McMillan Water Treatment Plant Finished Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,0.8,ND,26,0.7,2.1,ND,2.4,0.4,33,15,ND,ND,29,ND,ND,28,ND,ND,3.5,ND,ND,1.2,6,ND,ND,ND,0.7,ND,ND,20,96,ND,ND,ND,ND,0.5
Feb,0.6,ND,42,0.7,2.2,ND,2.4,0.6,33,18,ND,ND,31,ND,ND,29,ND,ND,2.8,ND,ND,1.3,6,0.2,ND,ND,0.8,ND,ND,27,109,ND,ND,ND,ND,0.8
Mar,0.6,ND,37,0.7,1.8,ND,2.5,0.6,32,14,ND,ND,30,ND,ND,28,ND,ND,2.3,ND,ND,1.1,6,ND,ND,ND,0.6,ND,ND,22,106,ND,ND,ND,ND,0.7
Apr,ND,ND,32,0.7,1.8,ND,2.4,0.5,34,17,ND,ND,31,ND,ND,29,ND,ND,2.5,ND,ND,1.0,6,ND,ND,ND,ND,ND,ND,19,108,ND,ND,ND,ND,1.2
May,0.6,ND,27,0.7,1.6,ND,2.4,0.3,35,29,ND,ND,34,ND,ND,29,ND,ND,6.1,ND,ND,1.5,4,ND,ND,ND,ND,ND,ND,18,118,ND,ND,ND,ND,ND
Jun,0.7,ND,37,0.8,1.8,ND,2.4,0.8,38,55,ND,ND,41,ND,ND,36,ND,ND,7.6,ND,ND,1.3,7,0.5,ND,ND,ND,ND,ND,20,152,ND,ND,ND,ND,ND
Jul,0.8,ND,34,0.7,1.5,ND,2.4,0.4,42,55,ND,ND,41,ND,ND,27,ND,ND,6.9,ND,ND,1.6,7,0.3,ND,0.7,ND,ND,ND,20,165,ND,ND,ND,ND,ND
Aug,0.9,ND,35,0.7,1.3,ND,2.4,0.3,48,54,ND,0.2,41,ND,ND,37,ND,ND,6.8,ND,ND,1.3,9,0.2,ND,0.8,ND,ND,ND,21,189,ND,ND,ND,ND,ND
Sep,0.8,ND,38,0.8,1.3,ND,2.3,0.4,54,52,ND,ND,40,ND,ND,45,ND,ND,6.4,ND,ND,1.5,10,ND,ND,0.8,ND,ND,ND,22,210,ND,ND,ND,ND,ND
Oct,0.8,ND,40,0.7,1.0,ND,2.4,0.3,59,83,ND,0.3,47,ND,ND,44,ND,ND,8.0,ND,ND,2.1,13,ND,ND,1.0,ND,ND,ND,24,244,ND,ND,ND,ND,ND
Nov,0.8,ND,37,0.7,1.7,ND,2.5,0.2,48,37,ND,ND,38,ND,ND,38,ND,ND,12.5,ND,ND,2.2,9,ND,ND,0.8,0.7,ND,ND,23,186,ND,ND,ND,ND,ND
Dec,0.8,ND,40,0.6,1.9,ND,2.5,0.4,43,16,ND,ND,32,ND,ND,30,ND,ND,9.5,ND,ND,1.4,9,ND,ND,0.6,0.5,ND,ND,24,183,ND,ND,ND,ND,0.7
*EPA MCL = Environmental Protection Agency's Maximum Contaminant Level for regulated parameters,,,,,,,,,,,,ppm = Parts Per Million,,,,,ppb = Parts Per Billion,,,,,,ND = Not Detected,,,,"""---"" = No Analysis Required",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 2 of 7,,,

"WASHINGTON AQUEDUCT, US ARMY CORPS OF ENGINEERS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL REPORT OF WATER ANALYSIS (2019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Miscellaneous Physical Parameters,,,,,,,,Microorganisms,,,,Haloacetic Acids (HAAs),,,,,,Trihalomethanes (THMs),,,,,,,,,,Volatile Organic Compounds (VOCs),,,,,,,,,,
,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,RU,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,R,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,E,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,P,H,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,E,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T,,O,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,T,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPA MCL*,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5,100,,,,,,,75
Units,,ppm,uS/cm,°F,ppm,ppm,ppm,ppm,ppm,NTU,%+,%+,CFU/mL,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb
,Dalecarlia Water Treatment Plant Finished Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,7.7,66,277,45,3.7,109,1.2,204,ND,0.02,0.0,0.0,<1,---,---,---,---,---,---,---,5.0,3.4,1.1,ND,10,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Feb,7.7,65,356,44,3.6,109,1.2,181,ND,0.02,0.0,0.0,<1,ND,4.3,ND,ND,3.6,8,1.7,5.2,3.7,1.3,ND,10,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Mar,7.7,61,321,50,3.6,106,1.3,173,ND,0.02,0.0,0.0,<1,---,---,---,---,---,---,---,7.8,3.6,1.1,ND,12,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Apr,7.7,71,327,62,3.2,116,1.7,197,1,0.02,0.8,0.0,<1,---,---,---,---,---,---,---,18.0,8.4,2.3,ND,29,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
May,7.7,69,285,69,3.6,107,1.7,214,ND,0.02,0.0,0.0,<1,ND,12.3,ND,1.4,15.1,29,1.8,24.0,5.5,0.7,ND,30,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Jun,7.7,88,357,77,3.8,125,1.5,265,3,0.02,0.0,0.0,2,---,---,---,---,---,---,---,23.0,9.2,2.1,0.5,35,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Jul,7.7,82,336,83,3.8,122,1.8,227,ND,0.03,0.0,0.0,2,---,---,---,---,---,---,---,46.0,14.0,3.3,ND,63,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Aug,7.7,96,381,82,3.8,151,1.8,288,4,0.03,0.0,0.0,4,ND,12.7,ND,1.6,13.2,28,4.4,29.0,14.0,4.1,ND,47,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Sep,7.7,103,447,78,3.7,168,1.6,246,ND,0.03,0.0,0.0,3,---,---,---,---,---,---,---,19.0,11.0,3.5,ND,34,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Oct,7.7,103,459,68,3.8,166,1.6,269,4,0.02,0.0,0.0,3,---,---,---,---,---,---,---,12.5,9.7,3.9,ND,27,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Nov,7.7,87,387,54,3.7,141,2.0,205,ND,0.02,0.0,0.0,<1,ND,13.0,ND,1.6,16.0,31,3.0,17.0,6.8,1.3,ND,25,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Dec,7.7,73,372,47,3.7,139,1.8,246,ND,0.02,0.0,0.0,<1,---,---,---,---,---,---,---,11.0,5.1,1.5,ND,18,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
,McMillan Water Treatment Plant Finished Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,7.7,58,263,52,3.7,103,1.2,166,1,0.01,0.0,0.0,2,---,---,---,---,---,---,---,4.4,3.1,1.2,ND,9,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Feb,7.7,59,341,51,3.7,101,1.1,184,ND,0.01,0.0,0.0,10,ND,4.4,ND,ND,3.1,8,1.8,4.3,3.3,1.3,ND,9,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Mar,7.7,51,304,54,3.6,95,1.2,174,1,0.01,0.0,0.0,20,---,---,---,---,---,---,---,6.0,3.8,1.5,ND,11,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Apr,7.7,62,308,65,3.1,106,1.5,188,1,0.02,0.0,0.0,5,---,---,---,---,---,---,---,14.0,7.1,2.3,ND,23,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
May,7.6,57,269,71,3.7,95,1.7,207,1,0.02,0.0,0.0,<1,ND,13.5,ND,1.2,16.5,31,2.3,30.0,6.5,0.9,ND,37,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Jun,7.7,77,340,76,3.6,122,1.4,234,3,0.04,0.0,0.0,<1,---,---,---,---,---,---,---,28.0,9.7,2.3,ND,40,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Jul,7.7,75,336,82,3.7,119,1.6,207,ND,0.03,0.0,0.0,1,---,---,---,---,---,---,---,28.0,10.0,3.0,ND,41,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Aug,7.7,84,348,82,3.7,136,1.7,242,4,0.03,0.0,0.0,2,ND,16.7,ND,1.7,17.0,35,4.0,41.0,13.0,3.2,ND,57,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Sep,7.7,94,437,78,3.8,158,1.4,235,ND,0.03,0.0,0.0,2,---,---,---,---,---,---,---,26.0,13.0,4.7,0.6,44,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Oct,7.8,97,459,70,3.7,167,1.4,255,2,0.02,0.0,0.0,6,---,---,---,---,---,---,---,14.5,10.5,5.0,0.7,31,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Nov,7.7,82,392,56,3.7,140,1.8,154,ND,0.01,0.0,0.0,1,ND,16.0,ND,2.0,18.0,36,2.7,26.0,7.2,1.0,ND,34,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Dec,7.7,69,365,50,3.8,126,1.7,229,ND,0.01,0.0,0.0,<1,---,---,---,---,---,---,---,14.0,5.2,1.3,ND,20,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
*EPA MCL = Environmental Protection Agency's Maximum Contaminant Level for regulated parameters,,,,,,,,,,,,,ppm = Parts Per Million,,,,,,,ppb = Parts Per Billion,,,,,,,ND = Not Detected,,,,"""---"" = No Analysis Required",,,,,,,,,,
Turbidity* = Water turbidity after filters,,,,,CFU/mL = Colony Forming Units per milliLiter,,,,,,,,NTU = Nephelometric Turbidity Units,,,,,,,μS/cm = microSiemens per centimeter,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 3 of 7,,,

"WASHINGTON AQUEDUCT, US ARMY CORPS OF ENGINEERS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL REPORT OF WATER ANALYSIS (2019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Volatile Organic Compounds,,,,,,,,,,,,,,,,,,,,,,,Oxygenates & Other VOCs,,,,,,
,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,E,N,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,E,L,E,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,N,Y,L,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,H,Y,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,H,T,H,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T,E,T,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,E,O,E,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,O,R,O,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,R,O,R,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,O,L,O,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,L,H,L,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,H,C,H,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,I,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,C,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
